form	lemma	POS	morph
དེ་ནས་	དེ་ནས་	NO_POS
དགེ་སློང་	དགེ་སློང་	NOUN
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ས་	གིས་	PART
ཞུས་པ་	ཞུས་པ་	VERB
༔		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལགས་	ལགས་	AUX
༔		PUNCT
		
བདག་	བདག་	PRON
ལ་	ལ་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
༔		PUNCT
		
སྣང་བ་	སྣང་བ་	VERB
ལྷ་	ལྷ་	NOUN
དང་	དང་	NO_POS
ལྷ་མོ་	ལྷ་མོ་	NOUN
ར་	ལ་	PART
གསལ་བ་	གསལ་བ་	VERB
༔		PUNCT
སྒྲ་	སྒྲ་	NOUN
གྲག་	གྲག་	VERB
ཚད་	ཚད་	NOUN
ཡི་དམ་	ཡི་དམ་	NOUN
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
གསུང་	གསུང་	VERB
དུ་	ལ་	PART
གོ་བ་	གོ་བ་	VERB
༔		PUNCT
		
རྟོག་པ་	རྟོག་པ་	VERB
ཅི་	ཅི་	NO_POS
ཤ་	ཤ་	VERB
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
དུ་	ལ་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཤིག་	ཅིག་	PART
ཞུ་	ཞུ་	VERB
ཞེ་	ཅེས་	PART
ཞུས་པ་	ཞུས་པ་	VERB
ས་	གིས་	PART
༔		PUNCT
བཀའ་	བཀའ་	NOUN
སྩལ་པ་	སྩལ་པ་	VERB
༔		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
༔		PUNCT
		
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་	བཟང་	VERB
༔		PUNCT
རིགས་	རིགས་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
༔		PUNCT
འགྲོ་	འགྲོ་	VERB
དྲུག་	དྲུག་	NUM
དོན་	དོན་	NOUN
མཛད་བྱང་	མཛད་བྱང་	NO_POS
ཆུབ་	ཆུབ་	VERB
སེམས་དཔ་	སེམས་དཔའ་	NOUN
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
༔		PUNCT
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
ལོངས་སྐུ་	ལོངས་སྐུ་	NOUN
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
༔		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
དགོངས་པ་	དགོངས་པ་	VERB
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
གྲག་	གྲག་	VERB
ལྡན་	ལྡན་	VERB
མཆོག་	མཆོག་	ADJ
སྐྱོང་	སྐྱོང་	VERB
གནོད་སྦྱིན་	གནོད་སྦྱིན་	NOUN
སྐར་མདའ་	སྐར་མདའ་	NOUN
གདོང་	གདོང་	NOUN
༔		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཐབས་	ཐབས་	NOUN
ལྡན་	ལྡན་	VERB
ཀླུ་རྒྱལ་	ཀླུ་རྒྱལ་	NO_POS
འཇོག་པོ་	འཇོག་པོ་	NO_POS
དང་	དང་	NO_POS
༔		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
གྲགས་པ་	གྲགས་པ་	VERB
ལས་ཅན་	ལས་ཅན་	ADJ
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཛ་	ཛ་	OTHER
༔		PUNCT
