form	lemma	POS	morph
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
༔		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལྷོ་ནུབ་	ལྷོ་ནུབ་	NO_POS
སྲིན་པོ་	སྲིན་པོ་	NOUN
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
༔		PUNCT
		
གུང་	གུང་	ADV
ཐང་ལ་	ཐང་ལ་	NO_POS
ཐོག་	ཐོག་	NOUN
ཏུ་	ལ་	PART
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
མུ་	མུ་	NOUN
ཁྲི་	ཁྲི་	NUM
བཙན་པོ་	བཙན་པོ་	NOUN
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
དང་	དང་	NO_POS
བསྐོར་བ་	བསྐོར་བ་	VERB
བྱ་	བྱ་	VERB
༔		PUNCT
ཞབས་	ཞབས་	NOUN
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ས་	གིས་	PART
གཏུགས་	གཏུགས་	VERB
༔		PUNCT
		
ན་བཟ་	ན་བཟའ་	NOUN
འི་	གི་	PART
བསླེ་		NON_WORD
མོ་ལ་	མོ་ལ་	NO_POS
འཇུས་	འཇུས་	VERB
ཏེ་	སྟེ་	PART
སྤྱན་ཆབ་	སྤྱན་ཆབ་	NOUN
ཕྱུངས་		NON_WORD
ན་	ནས་	PART
བཤུམ་	བཤུམ་	NO_POS
ཞིང་	ཅིང་	PART
སྨྲེ་སྔགས་	སྨྲེ་སྔགས་	NOUN
ཀྱི་	གི་	PART
ཞུ་བ་	ཞུ་བ་	VERB
ཕུལ་བ་	ཕུལ་བ་	VERB
༔		PUNCT
ཀྱེ་མ་	ཀྱེ་མ་	INTJ
གུ་རུ་	གུ་རུ་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
༔		PUNCT
		
ལྔ་	ལྔ་	NUM
བཅུ་	བཅུ་	NUM
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
ཐ་མ་	ཐ་མ་	ADJ
ལ་	ལ་	PART
༔		PUNCT
		
མང་ཡུལ་	མང་ཡུལ་	PROPN
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
གངས་	གངས་	NOUN
འགྲམ་	འགྲམ་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
༔		PUNCT
		
བདག་	བདག་	PRON
གི་	གི་	PART
བུ་	བུ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
གནས་	གནས་	NOUN
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
༔		PUNCT
དམངས་	དམངས་	NOUN
སུ་	ལ་	PART
འབེབས་	འབེབས་	VERB
ཤིང་	ཅིང་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
